"IU_ID","IU_ID2","scen","group","median","97.5 qtl"
"14169","COD14169",0,2,0.06237,0.7650625
"23688","GNB23688",0,2,0.088045,0.7832375
"23694","GNB23694",0,2,0.1282,0.7727375
"23732","GNB23732",0,2,0.1948,0.710975
"23680","GNB23680",0,2,0.05524,0.803595
"23686","GNB23686",0,2,0.039925,0.832375
"23689","GNB23689",0,2,0.1403,0.8198825
"23737","GNB23737",0,2,0.10375,0.814015
"23733","GNB23733",0,2,0.09997,0.7850625
"23704","GNB23704",0,2,0.07129,0.7661125
"23750","GNB23750",0,2,0.10345,0.826855
"23654","GNB23654",0,2,0.079185,0.79572
"23751","GNB23751",0,2,0.04961,0.7579025
"23693","GNB23693",0,2,0.1528,0.8004775
"23649","GNB23649",0,2,0.08734,0.8075025
"33176","MOZ33176",0,2,0.11435,0.84351
"50859","ZMB50859",0,2,0.083315,0.762325
"36478","NGA36478",0,3,0.0011,0.0331902499999999
"44367","SSD44367",0,3,0.001074,0.03221575
"44369","SSD44369",0,3,0.001405,0.04099225
"44362","SSD44362",0,3,0.0011735,0.03427375
"44370","SSD44370",0,3,0.0015805,0.040899
"44377","SSD44377",0,3,0.0025695,0.0397885
"44379","SSD44379",0,3,0.0028225,0.044261
"44378","SSD44378",0,3,0.0003246,0.03786375
"47645","GMB47645",0,3,0.000871,0.02866425
"17482","ERI17482",0,3,0.0006599,0.02833175
"17449","ERI17449",0,3,0.00072095,0.02925275
"17457","ERI17457",0,3,0.0012895,0.031334
"17460","ERI17460",0,3,0.00068865,0.0263585
"17451","ERI17451",0,3,0.0007311,0.02832675
"17450","ERI17450",0,3,0.001026,0.03019275
"17454","ERI17454",0,3,0.0011955,0.04069775
"35305","NER35305",0,3,0.0017995,0.0394494999999999
"34277","NAM34277",0,3,0.001678,0.0384485
"46592","TZA46592",0,3,0.005329,0.03593475
"46531","TZA46531",0,3,0.02344,0.03817175
"46530","TZA46530",0,3,0.024945,0.03367
"46501","TZA46501",0,3,0.0025795,0.02898225
"54255","KEN54255",0,3,0.0014085,0.034884
"54126","KEN54126",0,3,0.001199,0.04094925
"54127","KEN54127",0,3,0.00090785,0.0353912499999999
"54128","KEN54128",0,3,0.001028,0.04081575
"54079","KEN54079",0,3,0.0018235,0.038555
"54085","KEN54085",0,3,0.0007521,0.0358685
"54153","KEN54153",0,3,0.00069945,0.02916575
"54154","KEN54154",0,3,0.0009835,0.02962725
"54146","KEN54146",0,3,0.0013205,0.03941725
"54148","KEN54148",0,3,0.00097145,0.0391209999999999
"54150","KEN54150",0,3,0.0012625,0.04328725
"54282","KEN54282",0,3,0.0011165,0.03804725
"54284","KEN54284",0,3,0.001366,0.04106325
"54040","KEN54040",0,3,0.0011335,0.035542
"54283","KEN54283",0,3,0.0006098,0.02642025
"54289","KEN54289",0,3,0.0011995,0.0432167499999999
"54290","KEN54290",0,3,0.0014975,0.035611
"54264","KEN54264",0,3,0.00083105,0.02965225
"54269","KEN54269",0,3,0.001024,0.035031
"54267","KEN54267",0,3,0.00097155,0.02766025
"54056","KEN54056",0,3,0.0015155,0.04464325
"54053","KEN54053",0,3,0.0013275,0.039984
"54185","KEN54185",0,3,0.0015035,0.043094
"54189","KEN54189",0,3,0.0008994,0.03058675
"54195","KEN54195",0,3,0.0013575,0.0385055
"54193","KEN54193",0,3,0.001488,0.04492625
"54196","KEN54196",0,3,0.001468,0.0364215
"54198","KEN54198",0,3,0.0011635,0.0355595
"54159","KEN54159",0,3,0.0013205,0.04114525
"54258","KEN54258",0,3,0.001522,0.0391805
"54032","KEN54032",0,3,0.0015495,0.039332
"54035","KEN54035",0,3,0.001365,0.04262275
"54120","KEN54120",0,3,0.00086125,0.03205025
"54121","KEN54121",0,3,0.001656,0.0421525
"54119","KEN54119",0,3,0.0013565,0.02945
"54136","KEN54136",0,3,0.0009211,0.03626925
"54135","KEN54135",0,3,0.001503,0.040663
"54138","KEN54138",0,3,0.0014225,0.0427674999999999
"54002","KEN54002",0,3,0.0009324,0.033788
"54003","KEN54003",0,3,0.0013615,0.04153125
"54204","KEN54204",0,3,0.0015525,0.03547825
"54211","KEN54211",0,3,0.001452,0.0437222499999999
"54240","KEN54240",0,3,0.0007858,0.0287117499999999
"19070","ETH19070",0,3,0.007588,0.0440995
"18707","ETH18707",0,3,0.001143,0.03927825
"19098","ETH19098",0,3,0.001802,0.0448814999999999
"18732","ETH18732",0,3,0.01138,0.02820275
"19066","ETH19066",0,3,0.0014445,0.043065
"19055","ETH19055",0,3,0.0016445,0.04141975
"19266","ETH19266",0,3,0.014135,0.03993075
"18500","ETH18500",0,3,0.0014385,0.0431235
"18517","ETH18517",0,3,0.001273,0.04335175
"18530","ETH18530",0,3,0.00129,0.0364852499999999
"18520","ETH18520",0,3,0.0016275,0.04167175
"18510","ETH18510",0,3,0.001773,0.0401444999999999
"18513","ETH18513",0,3,0.0073285,0.032792
"19311","ETH19311",0,3,0.0021185,0.0437114999999999
"18508","ETH18508",0,3,0.001047,0.0422345
"18524","ETH18524",0,3,0.001186,0.037561
"19302","ETH19302",0,3,0.001287,0.0394145
"56007","SOM56007",0,3,0.001215,0.0448105
"53253","SDN53253",0,3,0.0006441,0.027464
"53257","SDN53257",0,3,0.0007861,0.02733375
"53293","SDN53293",0,3,0.00062765,0.03542875
"53212","SDN53212",0,3,0.0010695,0.0358687499999999
"53242","SDN53242",0,3,0.00050705,0.03253775
"53244","SDN53244",0,3,0.00057665,0.0303615
"53298","SDN53298",0,3,0.00077435,0.0271922499999999
"53278","SDN53278",0,3,0.001442,0.0414975
"53276","SDN53276",0,3,0.001282,0.04205575
"53200","SDN53200",0,3,0.0010985,0.04111425
"53202","SDN53202",0,3,0.001063,0.04245125
"53201","SDN53201",0,3,0.0009353,0.03415625
"53197","SDN53197",0,3,0.0008698,0.03263225
"53199","SDN53199",0,3,0.00098045,0.0385975
"53305","SDN53305",0,3,0.0015845,0.037689
"53361","SDN53361",0,3,0.0016265,0.0445794999999999
"53359","SDN53359",0,3,0.00090125,0.0311175
"53358","SDN53358",0,3,0.001118,0.0393265
"53205","SDN53205",0,3,0.0010145,0.044144
"53360","SDN53360",0,3,0.001319,0.0315117499999999
"53326","SDN53326",0,3,0.0020205,0.04265225
"53330","SDN53330",0,3,0.0015675,0.04517725
"36496","NGA36496",0,4,0.002786,0.1011075
"36486","NGA36486",0,4,0.002516,0.0997502499999999
"36502","NGA36502",0,4,0.002781,0.1080125
"36503","NGA36503",0,4,0.002742,0.1028475
"36852","NGA36852",0,4,0.004699,0.1181625
"36493","NGA36493",0,4,0.0044615,0.11433
"44401","SSD44401",0,4,0.0007529,0.109145
"38123","RWA38123",0,4,0.0050185,0.1123925
"47648","GMB47648",0,4,0.0034045,0.116105
"47636","GMB47636",0,4,0.0030145,0.1034275
"47630","GMB47630",0,4,0.0039845,0.1171625
"47655","GMB47655",0,4,0.0051395,0.1161025
"34261","NAM34261",0,4,0.0035045,0.10736
"4291","BWA04291",0,4,0.003534,0.1047075
"31045","MRT31045",0,4,0.0037465,0.1193025
"31088","MRT31088",0,4,0.00296,0.102935
"2049","AGO02049",0,4,0.001034,0.100505
"2050","AGO02050",0,4,0.0060775,0.1007275
"2062","AGO02062",0,4,0.00318,0.113745
