"","iso3_iu0","highest_ess_model"
"253","TZA46554","mansoni_low_burden"
"254","TZA46607","mansoni_low_burden"
"255","TZA46605","mansoni_low_burden"
"256","TZA46514","mansoni_high_burden"
"257","TZA46556","mansoni_high_burden"
"258","TZA46516","mansoni_high_burden"
"259","TZA46557","mansoni_high_burden"
"260","TZA46472","mansoni_low_burden"
"261","TZA46599","mansoni_low_burden"
"262","TZA46515","mansoni_high_burden"
"263","TZA46470","mansoni_low_burden"
"264","TZA46469","mansoni_low_burden"
"265","TZA46601","mansoni_low_burden"
"266","TZA46600","mansoni_high_burden"
"267","TZA46513","mansoni_low_burden"
"268","TZA46473","mansoni_low_burden"
"269","TZA46603","mansoni_low_burden"
"270","TZA46574","mansoni_low_burden"
"271","TZA46474","mansoni_low_burden"
"272","TZA46576","mansoni_high_burden"
"273","TZA46571","mansoni_low_burden"
"274","TZA46475","mansoni_low_burden"
"275","TZA46604","mansoni_low_burden"
"276","TZA46608","mansoni_low_burden"
"277","TZA46471","mansoni_low_burden"
"278","TZA46521","mansoni_low_burden"
"279","TZA46522","mansoni_low_burden"
"280","TZA46575","mansoni_high_burden"
"281","BDI06422","mansoni_high_burden"
"282","BDI06423","mansoni_low_burden"
"283","BDI06376","mansoni_low_burden"
"284","BDI06383","mansoni_low_burden"
"285","RWA38121","mansoni_low_burden"
"286","RWA38124","mansoni_high_burden"
"287","RWA38122","mansoni_high_burden"
"288","RWA38116","mansoni_high_burden"
"289","BDI06381","mansoni_low_burden"
"290","BDI06378","mansoni_low_burden"
"291","BDI06377","mansoni_high_burden"
"292","BDI06404","mansoni_low_burden"
"293","BDI06399","mansoni_high_burden"
"294","BDI06400","mansoni_high_burden"
"295","BDI06415","mansoni_high_burden"
"296","RWA38141","mansoni_low_burden"
"297","RWA38138","mansoni_high_burden"
"298","BDI06387","mansoni_high_burden"
"299","BDI06416","mansoni_high_burden"
"300","BDI06401","mansoni_low_burden"
"301","BDI06409","mansoni_low_burden"
"302","BDI06379","mansoni_high_burden"
"303","BDI06380","mansoni_high_burden"
"304","BDI06382","mansoni_high_burden"
"305","BDI06386","mansoni_low_burden"
"306","BDI06395","mansoni_high_burden"
"307","BDI06396","mansoni_high_burden"
"308","BDI06397","mansoni_high_burden"
"309","BDI06407","mansoni_high_burden"
"310","BDI06408","mansoni_low_burden"
"311","BDI06412","mansoni_high_burden"
"312","BDI06413","mansoni_high_burden"
"313","BDI06414","mansoni_high_burden"
"314","BDI06419","mansoni_low_burden"
"315","BDI06420","mansoni_high_burden"
"316","MWI28956","mansoni_high_burden"
"317","MWI28950","mansoni_high_burden"
"318","MWI28949","mansoni_low_burden"
"319","MWI28955","mansoni_low_burden"
"320","MWI28952","mansoni_low_burden"
"321","MWI28946","mansoni_high_burden"
"322","MWI28973","mansoni_high_burden"
"323","MWI28945","mansoni_high_burden"
"324","MWI28962","mansoni_high_burden"
"325","MWI28964","mansoni_low_burden"
"326","MWI28970","mansoni_high_burden"
"327","MWI28944","mansoni_high_burden"
"328","MWI28966","mansoni_low_burden"
"329","MWI28948","mansoni_high_burden"
"330","MWI28971","mansoni_low_burden"
"331","MWI28953","mansoni_high_burden"
"332","MWI28957","mansoni_high_burden"
"333","MWI28965","mansoni_high_burden"
"334","MWI28961","mansoni_high_burden"
"335","MWI28951","mansoni_low_burden"
"336","MWI28947","mansoni_high_burden"
"337","MWI28969","mansoni_low_burden"
"338","MWI28954","mansoni_high_burden"
"339","MWI28963","mansoni_low_burden"
"340","MWI28959","mansoni_low_burden"
"341","MWI28958","mansoni_low_burden"
"342","MWI28967","mansoni_high_burden"
"343","KEN54144","mansoni_high_burden"
"344","KEN54039","mansoni_low_burden"
"345","SLE42267","mansoni_low_burden"
"346","KEN54049","mansoni_high_burden"
"347","CAF09664","mansoni_low_burden"
"348","CAF09688","mansoni_low_burden"
"349","ETH19491","mansoni_high_burden"
"350","KEN54045","mansoni_high_burden"
"351","KEN54046","mansoni_low_burden"
"352","KEN54087","mansoni_low_burden"
"353","KEN54253","mansoni_low_burden"
"354","KEN54124","mansoni_high_burden"
"355","KEN54091","mansoni_high_burden"
"356","KEN54093","mansoni_high_burden"
"357","KEN54090","mansoni_high_burden"
"358","KEN54088","mansoni_high_burden"
"359","KEN54110","mansoni_low_burden"
"360","KEN54111","mansoni_high_burden"
"361","KEN54109","mansoni_high_burden"
"362","KEN54243","mansoni_low_burden"
"363","KEN54023","mansoni_low_burden"
"364","KEN54024","mansoni_high_burden"
"365","ETH19452","mansoni_high_burden"
"366","KEN54244","mansoni_low_burden"
"367","ZWE52926","mansoni_low_burden"
"368","KEN54254","mansoni_high_burden"
"369","KEN54112","mansoni_low_burden"
"370","KEN54255","mansoni_high_burden"
"371","KEN54107","mansoni_low_burden"
"372","KEN54038","mansoni_low_burden"
"373","KEN54168","mansoni_low_burden"
"374","KEN54139","mansoni_low_burden"
"375","KEN54118","mansoni_low_burden"
"376","KEN54036","mansoni_high_burden"
"377","KEN54141","mansoni_high_burden"
"378","KEN54143","mansoni_high_burden"
"379","ZWE52920","mansoni_high_burden"
"380","ZWE52928","mansoni_high_burden"
"381","ZWE52918","mansoni_high_burden"
"382","ZWE52961","mansoni_low_burden"
"383","ZWE52910","mansoni_low_burden"
"384","ZWE52935","mansoni_low_burden"
"385","ZWE52902","mansoni_low_burden"
"386","ZWE52907","mansoni_low_burden"
"387","ZWE52930","mansoni_high_burden"
"388","ZWE52905","mansoni_low_burden"
"389","ZWE52906","mansoni_high_burden"
"390","ZWE52921","mansoni_low_burden"
"391","ZWE52912","mansoni_high_burden"
"392","TGO48710","mansoni_high_burden"
"393","KEN54096","mansoni_high_burden"
"394","KEN54021","mansoni_high_burden"
"395","KEN54042","mansoni_low_burden"
"396","CIV15443","mansoni_low_burden"
"397","CIV15441","mansoni_high_burden"
"398","CIV15442","mansoni_high_burden"
"399","TGO48713","mansoni_high_burden"
"400","SLE42268","mansoni_low_burden"
"401","TGO48711","mansoni_high_burden"
"402","ZWE52903","mansoni_low_burden"
"403","ZWE52922","mansoni_low_burden"
"404","ZWE52929","mansoni_low_burden"
"405","ZWE52956","mansoni_high_burden"
"406","ZWE52957","mansoni_high_burden"
"407","KEN54250","mansoni_high_burden"
"408","KEN54125","mansoni_low_burden"
"409","KEN54044","mansoni_low_burden"
"410","ETH19494","mansoni_low_burden"
"411","ETH19480","mansoni_low_burden"
"412","TGO48709","mansoni_low_burden"
"413","TCD10790","mansoni_high_burden"
"414","ETH19570","mansoni_high_burden"
"415","TGO48708","mansoni_high_burden"
"416","CIV15419","mansoni_low_burden"
"417","CIV15434","mansoni_high_burden"
"418","CIV15420","mansoni_high_burden"
"419","CIV15414","mansoni_low_burden"
"420","CIV15412","mansoni_low_burden"
"421","CIV15413","mansoni_low_burden"
"422","CIV15429","mansoni_low_burden"
"423","CIV15430","mansoni_low_burden"
"424","CIV15433","mansoni_high_burden"
"425","CIV15437","mansoni_high_burden"
"426","CIV15435","mansoni_low_burden"
"427","CIV15436","mansoni_low_burden"
"428","CIV15446","mansoni_low_burden"
"429","CIV15447","mansoni_high_burden"
"430","CIV15448","mansoni_low_burden"
"431","CIV15449","mansoni_low_burden"
"432","CIV15450","mansoni_high_burden"
"433","CIV15455","mansoni_high_burden"
"434","CIV15464","mansoni_low_burden"
"435","CIV15438","mansoni_high_burden"
"436","CIV15461","mansoni_high_burden"
"437","CIV15462","mansoni_high_burden"
"438","CIV15427","mansoni_high_burden"
"439","CIV15428","mansoni_low_burden"
"440","CIV15460","mansoni_low_burden"
"441","CIV15445","mansoni_high_burden"
"442","CIV15459","mansoni_high_burden"
"443","CIV15458","mansoni_high_burden"
"444","CIV15453","mansoni_high_burden"
"445","CIV15463","mansoni_high_burden"
"446","CIV15454","mansoni_high_burden"
"447","CIV15444","mansoni_low_burden"
"448","CAF09681","mansoni_high_burden"
"449","CAF09661","mansoni_high_burden"
"450","TCD10765","mansoni_high_burden"
"451","TCD10767","mansoni_high_burden"
"452","TCD10773","mansoni_high_burden"
"453","CAF09665","mansoni_high_burden"
"454","CAF09663","mansoni_high_burden"
"455","CAF09682","mansoni_high_burden"
"456","CAF09692","mansoni_low_burden"
"457","CAF09680","mansoni_low_burden"
"458","CAF09691","mansoni_low_burden"
"459","CAF09687","mansoni_low_burden"
"460","CAF09690","mansoni_low_burden"
"461","MLI30036","mansoni_high_burden"
"462","MLI30037","mansoni_high_burden"
"463","MLI30038","mansoni_high_burden"
"464","MLI30035","mansoni_low_burden"
"465","TCD10769","mansoni_low_burden"
"466","ETH19386","mansoni_low_burden"
