"Group_name","IU_ID","IU_ID2","CoverageGroup","Group"
"2865","CAF09684","CAF09684","1"
"2866","CAF09685","CAF09685","1"
"2864","CAF09686","CAF09686","1"
"2867","CAF09689","CAF09689","1"
"2872","CAF09693","CAF09693","1"
"2873","CAF09694","CAF09694","1"
"939","CIV15330","CIV15330","1"
"940","CIV15332","CIV15332","1"
"945","CIV15334","CIV15334","1"
"943","CIV15335","CIV15335","1"
"944","CIV15336","CIV15336","1"
"4036","CIV15337","CIV15337","1"
"1388","CIV15338","CIV15338","1"
"1387","CIV15340","CIV15340","1"
"4026","CIV15342","CIV15342","1"
"4027","CIV15345","CIV15345","1"
"1976","CIV15346","CIV15346","1"
"4034","CIV15347","CIV15347","1"
"1968","CIV15348","CIV15348","1"
"4028","CIV15349","CIV15349","1"
"1970","CIV15356","CIV15356","1"
"1655","CIV15357","CIV15357","1"
"1659","CIV15359","CIV15359","1"
"4219","CIV15361","CIV15361","1"
"4212","CIV15362","CIV15362","1"
"4211","CIV15364","CIV15364","1"
"4280","CIV15365","CIV15365","1"
"1658","CIV15366","CIV15366","1"
"1650","CIV15367","CIV15367","1"
"1651","CIV15368","CIV15368","1"
"1652","CIV15370","CIV15370","1"
"4218","CIV15373","CIV15373","1"
"4217","CIV15375","CIV15375","1"
"1967","CIV15377","CIV15377","1"
"938","CIV15378","CIV15378","1"
"1971","CIV15379","CIV15379","1"
"936","CIV15380","CIV15380","1"
"941","CIV15381","CIV15381","1"
"1657","CIV15385","CIV15385","1"
"2191","CIV15386","CIV15386","1"
"1656","CIV15387","CIV15387","1"
"4215","CIV15388","CIV15388","1"
"4035","CIV15389","CIV15389","1"
"1974","CIV15393","CIV15393","1"
"1975","CIV15396","CIV15396","1"
"942","CIV15401","CIV15401","1"
"1972","CIV15402","CIV15402","1"
"4216","CIV15404","CIV15404","1"
"1660","CIV15405","CIV15405","1"
"1653","CIV15406","CIV15406","1"
"1654","CIV15407","CIV15407","1"
"776","CIV15408","CIV15408","1"
"2170","CIV15411","CIV15411","1"
"4572","CIV15417","CIV15417","1"
"418","CIV15420","CIV15420","1"
"2572","CIV15422","CIV15422","1"
"2573","CIV15424","CIV15424","1"
"2574","CIV15425","CIV15425","1"
"438","CIV15427","CIV15427","1"
"424","CIV15433","CIV15433","1"
"417","CIV15434","CIV15434","1"
"425","CIV15437","CIV15437","1"
"435","CIV15438","CIV15438","1"
"2559","CIV15440","CIV15440","1"
"397","CIV15441","CIV15441","1"
"398","CIV15442","CIV15442","1"
"441","CIV15445","CIV15445","1"
"429","CIV15447","CIV15447","1"
"432","CIV15450","CIV15450","1"
"444","CIV15453","CIV15453","1"
"446","CIV15454","CIV15454","1"
"433","CIV15455","CIV15455","1"
"4590","CIV15456","CIV15456","1"
"2658","CIV15457","CIV15457","1"
"443","CIV15458","CIV15458","1"
"442","CIV15459","CIV15459","1"
"436","CIV15461","CIV15461","1"
"437","CIV15462","CIV15462","1"
"445","CIV15463","CIV15463","1"
"4183","COD13818","COD13818","1"
"4697","COD13823","COD13823","1"
"4699","COD13825","COD13825","1"
"4700","COD13827","COD13827","1"
"4701","COD13829","COD13829","1"
"4703","COD13836","COD13836","1"
"4704","COD13837","COD13837","1"
"4525","COD13839","COD13839","1"
"4705","COD13840","COD13840","1"
"4706","COD13841","COD13841","1"
"4707","COD13842","COD13842","1"
"4526","COD13845","COD13845","1"
"4708","COD13846","COD13846","1"
"4710","COD13849","COD13849","1"
